Measures,Bastante de acuerdo,Algo de acuerdo,Muy de acuerdo,No sé,Nada de acuerdo
significance,32,28,24,6,4
journal_significance,37,18,27,3,9
significance_trust,19,18,10,7,40
null_significance,1,21,2,6,64
pvalue,21,31,9,6,27
significance_importance,31,34,8,6,15
pvalue_importance,11,36,4,13,30
effect_size,12,21,8,22,31
replication,30,21,36,2,5
replication_importance,17,22,49,1,5
replication_necessity,10,37,2,5,40
replication_sense,2,16,0,18,58
significance_replication,2,10,0,17,65
journal_target,26,27,17,2,22
novelty,10,30,7,4,43
science_errors,9,30,1,7,47
journal_review,18,41,4,5,26
